Date	Type	Operator	Fatalities	GroundFatalities	Flight type	Phase	Location	Country	Latitude	Longitude	Category
2/4/2015	ATR 72-600 (72-212A)	TransAsia Airways	43		Passenger	Initial Climb	"5,3 km E of Taipei-Sung Shan Airport (TSA)"	Taiwan	"25,062639"	"121,61754"	
3/24/2015	Airbus A320-211	Germanwings	150		Passenger	En Route	17 km SW of Barcelonnette	France	"44,292"	"6,474"	
4/13/2015	Swearingen SA226-TC Metro II	Carson Air	2		Cargo	En Route	"N of Vancouver, BC"	Canada	"49,395755"	"-123,082589"	
6/25/2015	de Havilland Canada DHC-3T Vazar Turbine Otter	Promech Air	9		Passenger	En Route	"near Ella Lake, Misty Fjords National Monument, AK"	United States of America	"55,486382"	"-131,036356"	
8/16/2015	ATR 42-300	Trigana Air Service	54		Passenger	En Route	"16,7 km NW of Oksibil Airport (OKL)"	Indonesia	"-4,821483"	"140,499217"	
9/15/2015	de Havilland Canada DHC-3T Texas Turbine Otter	Rainbow King Lodge	3		Passenger	Initial Climb	"E of Iliamna-East Wind Lake Seaplane Base, AK"	United States of America	"59,772177"	"-154,909327"	
10/2/2015	de Havilland Canada DHC-6 Twin Otter 300	Aviastar Mandiri	10		Passenger	En Route	Mount Latimojong	Indonesia	"-3,486928"	"120,098056"	
10/31/2015	Airbus A321-231	Metrojet	224		Passenger	En Route	"ca 50 km SE of Hasna, North Sinai"	Egypt	"30,16928"	"34,172104"	
11/4/2015	Antonov 12BK	Allied Services Limited	41		Cargo	Initial Climb	"0,8 km E of Juba Airport (JUB)"	South Sudan	"4,848319"	"31,632525"	
12/11/2015	Cessna 208B Grand Caravan	Wasaya Airways	1		Cargo	En Route	"28 km NE of Pickle Lake Airport, ON"	Canada	"51,585702"	"-89,879506"	
1/8/2016	Canadair CRJ-200PF	West Air Sweden	2		Cargo	En Route	near Akkajaure	Sweden	"67,66767"	"17,877352"	
2/2/2016	Airbus A321-111	Daallo Airlines	1		Passenger	En Route	near Mogadishu International Airport (MGQ)	Somalia	"2,34707"	"45,493194"	
2/24/2016	Viking Air DHC-6 Twin Otter 400	Tara Air	23		Passenger	En Route	"Dana, Myagdi district"	Nepal	"28,538492"	"83,620687"	
3/9/2016	Antonov 26B	True Aviation	3		Cargo	Approach	3 km off Cox's Bazar Airport (CXB)	Bangladesh	"21,388651"	"91,965479"	
3/19/2016	Boeing 737-8KN (WL)	flydubai	62		Passenger	Approach	Rostov Airport (ROV)	Russia	"47,2655"	"39,8292"	
4/1/2016	Cessna 208B Grand Caravan	TADSA	3		Passenger	En Route	near Tayoltita	Mexico	"23,935531"	"-106,393125"	
5/19/2016	Airbus A320-232	EgyptAir	66		Passenger	En Route	ca 200 km N of Egyptian coast	Mediterranean Sea	"33,675704"	"28,7902307"	
7/20/2016	Cessna 208B Grand Caravan EX	Joy General Aviation	5		Passenger	Takeoff	off Jinshan City Beach	China	"30,715218"	"121,355721"	
8/31/2016	Cessna 208B Grand Caravan EX	Ravn Connect	3		Passenger	En Route	"10 km NW of Russian Mission Airport, AK (RSH)"	United States of America	"61,825533"	"-161,494481"	
9/30/2016	Cessna 208B Grand Caravan	Llanera de Aviación	4		Passenger	Unknown	near San Antonio de Prado	Colombia	"6,198566"	"-75,647677"	
10/2/2016	Cessna 208B Grand Caravan	Ravn Connect	3		Passenger	En Route	"19 km W of Togiak, AK"	United States of America	"59,107496"	"-160,678876"	
