,f,mi,logreg,lightgbm,mrmr
1,0.6219392752203722,0.6405484818805093,0.5825171400587659,0.6106758080313418,0.6219392752203722
2,0.6498530852105778,0.8276199804113614,0.6878060724779628,0.883692458374143,0.881488736532811
3,0.653281096963761,0.8278648383937316,0.8839373163565132,0.8785504407443683,0.8756121449559255
4,0.8344760039177277,0.834720861900098,0.8964250734573947,0.8827130264446621,0.8807541625857003
5,0.9086679725759059,0.9177277179236043,0.9177277179236043,0.8824681684622919,0.8802644466209598
7,0.9116062683643487,0.9116062683643487,0.921645445641528,0.9182174338883448,0.9096474045053868
9,0.9128305582761999,0.9113614103819785,0.9255631733594515,0.9272771792360431,0.91307541625857
11,0.9103819784524976,0.9135651322233105,0.9287463271302644,0.928256611165524,0.9128305582761999
13,0.9174828599412341,0.9157688540646425,0.9272771792360431,0.9307051909892262,0.9177277179236043
16,0.9287463271302644,0.9331537708129285,0.9309500489715965,0.930460333006856,0.9309500489715965
