G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Sep 8 2018,3:30 PM,Sat,Nebraska,,Colorado,Pac-12,L,28,33,0,1,L 1,
2,Sep 15 2018,12:00 PM,Sat,Nebraska,,Troy,Sun Belt,L,19,24,0,2,L 2,
3,Sep 22 2018,12:00 PM,Sat,Nebraska,@,(19) Michigan,Big Ten,L,10,56,0,3,L 3,
4,Sep 29 2018,3:30 PM,Sat,Nebraska,,Purdue,Big Ten,L,28,42,0,4,L 4,
5,Oct 6 2018,7:30 PM,Sat,Nebraska,@,(16) Wisconsin,Big Ten,L,24,41,0,5,L 5,
6,Oct 13 2018,12:00 PM,Sat,Nebraska,@,Northwestern,Big Ten,L,31,34,0,6,L 6,
7,Oct 20 2018,3:30 PM,Sat,Nebraska,,Minnesota,Big Ten,W,53,28,1,6,W 1,
8,Oct 27 2018,12:00 PM,Sat,Nebraska,,Bethune-Cookman,Non-Major,W,45,9,2,6,W 2,
9,Nov 3 2018,12:00 PM,Sat,Nebraska,@,(8) Ohio State,Big Ten,L,31,36,2,7,L 1,
10,Nov 10 2018,12:00 PM,Sat,Nebraska,,Illinois,Big Ten,W,54,35,3,7,W 1,
11,Nov 17 2018,12:00 PM,Sat,Nebraska,,Michigan State,Big Ten,W,9,6,4,7,W 2,
12,Nov 23 2018,12:00 PM,Fri,Nebraska,@,Iowa,Big Ten,L,28,31,4,8,L 1,
