ADDRESS,RD,INC_,TYPE_CODE,CALL_TYPE,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,FID
2000 BLOCK PEPPER AVE,498,5100,4122,ASLT KNIFE,82,B4-000783,1738,1/3/14,FRI,1/3/14,1030,FRI,1/3/14,1200,0,0,1
5000 BLOCK WOODLAND AVE,107,6000,5131,BURG RD ATT,80,B4-000785,1745,1/3/14,FRI,1/3/14,700,FRI,1/3/14,1745,0,300,2
1500 BLOCK S CODDINGTON AVE,156,5000,4152,ASLT NO WEAP,24,B4-000788,1755,1/3/14,FRI,1/3/14,1715,FRI,1/3/14,1720,0,0,3
900 BLOCK S 20TH ST,68,23400,6603,LFB $1-49,83,B4-000789,1757,1/3/14,THU,1/2/14,2130,FRI,1/3/14,1637,1,0,4
1000 BLOCK S 33RD ST,61,27111,8601,POSS NARCO,2,B4-000791,1802,1/3/14,FRI,1/3/14,1750,,,,0,0,5
8900 BLOCK ANDERMATT DR,200,23300,6202,LSL $50-199,22,B4-000793,1806,1/3/14,FRI,1/3/14,1711,FRI,1/3/14,1724,50,0,6
3800 BLOCK W O ST,150,5000,4151,ASLT NO WEAP,75,B4-000795,1741,1/3/14,FRI,1/3/14,1715,FRI,1/3/14,1725,0,0,7
1500 BLOCK N 22ND ST,13,24244,0,TRESPASS,82,B4-000797,1829,1/3/14,FRI,1/3/14,1300,FRI,1/3/14,1500,0,0,8
1500 BLOCK S 44TH ST,59,27222,8602,SELL NARCO,80,B4-000799,1832,1/3/14,FRI,1/3/14,1630,FRI,1/3/14,1832,0,0,9
1800 BLOCK N 23RD ST,13,42200,9488,VAND/DRV BY,82,B4-000800,1832,1/3/14,FRI,1/3/14,1810,FRI,1/3/14,1815,0,50,10
1900 BLOCK J ST,68,12000,0,DISTURBNCE,84,B4-000801,1832,1/3/14,FRI,1/3/14,1832,,,,0,0,11
3700 BLOCK NW 57TH ST,220,5300,4251,ASLT PO/N WP,0,B4-000802,1834,1/3/14,FRI,1/3/14,1742,,,,0,0,12
100 BLOCK IRVING ST,133,23500,6303,LFA $1-49,80,B4-000804,1838,1/3/14,FRI,1/3/14,1800,FRI,1/3/14,1838,1,0,13
1300 BLOCK SUMNER ST,94,42000,9443,VAND/VEH,80,B4-000943,514,1/4/14,SAT,1/4/14,510,SAT,1/4/14,514,0,50,14
1700 BLOCK WASHINGTON ST,97,23300,6203,LSL $1-49,21,B4-000805,1842,1/3/14,FRI,1/3/14,1835,FRI,1/3/14,1842,35,0,15
100 BLOCK S 28TH ST,63,13000,0,DISTURBNCE,84,B4-000004,5,1/1/14,TUE,12/31/13,2200,WED,1/1/14,5,0,0,16
1500 BLOCK N 58TH ST,40,45111,8111,ARSON,80,B4-000008,18,1/1/14,WED,1/1/14,15,WED,1/1/14,18,0,25000,17
1100 BLOCK FURNACE AV,125,13000,0,DISTURBNCE,80,B4-000945,518,1/4/14,FRI,1/3/14,800,SAT,1/4/14,500,0,0,18
3700 BLOCK NW 57TH ST,220,42000,9443,VAND/VEH,1,B4-000807,1848,1/3/14,FRI,1/3/14,1800,,,,0,300,19
