RKY,DOA,TOA,FIXTIME,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId,ObjectId2
B8-000031,2018/01/01 06:00:00+00,55,12:55:00,"S 47,L to M",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,1
B8-000075,2018/01/01 06:00:00+00,301,03:01:00,"S 24,GARFIELD to WASHINGTON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,2
B8-000104,2018/01/01 06:00:00+00,300,03:00:00,S 83 at BANCROFT,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,3
B8-000116,2018/01/01 06:00:00+00,,12:00:00,"N 50,AYLESWORTH to HOLDREGE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,4
B8-000122,2018/01/01 06:00:00+00,,12:00:00,"MYRTLE,LARCHDALE to S 80",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,5
B8-000137,2017/12/31 06:00:00+00,,12:00:00,"N 28,FAIR to POTTER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,6
B8-000139,2018/01/01 06:00:00+00,1150,11:50:00,S 15 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,7
B8-000145,2018/01/01 06:00:00+00,,12:00:00,"GRASSRIDGE,ESSEX to SOUTHWOOD DR",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,8
B8-000147,2018/01/01 06:00:00+00,1200,12:00:00,"W DAWES,NW 8 to NW 9",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,9
B8-000152,2017/12/31 06:00:00+00,,12:00:00,"GLASS RIDGE DR,S 96 to GLASS RIDGE CT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,10
B8-000161,2017/12/31 06:00:00+00,2230,10:30:00,"WALKER,AMMON to N 70",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,11
B8-000164,2018/01/01 06:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,12
B8-000169,2018/01/01 06:00:00+00,,12:00:00,"N 58,AYLESWORTH to FRANCIS",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,13
B8-000174,2017/12/31 06:00:00+00,1130,11:30:00,"N,S 50 to S 52",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,14
B8-000180,2018/01/01 06:00:00+00,,12:00:00,"SW SOUKUP DR,W CHARLES HALL to W LAKE",NON-INJ H&R,PARKED,1,0,NO,NO,NO,NO,NO,NO,NO,,15
B8-000192,2018/01/01 06:00:00+00,1621,04:21:00,STRATFORD at BRADFIELD,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,16
B8-000193,2018/01/01 06:00:00+00,,12:00:00,"BOSTON,PREAMBLE LN to DEAD END",NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,,17
B8-000205,2018/01/01 06:00:00+00,,12:00:00,"D,S 25 to S 26",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,18
B8-000208,2018/01/01 06:00:00+00,,12:00:00,"H,DEAD END to S 18",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19
B8-000218,2018/01/01 06:00:00+00,1740,05:40:00,"TRAIL RIDGE,APACHE to TERRACE",NON-INJ,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,,20
B8-000222,2018/01/01 06:00:00+00,1730,05:30:00,"FRANKLIN,S 55 to S 56",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,21
B8-000229,2018/01/01 06:00:00+00,1834,06:34:00,"GRAND OAKS,S 80 to DREW PL",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,22
B8-000241,2018/01/01 06:00:00+00,1943,07:43:00,S 27 at OLD CHENEY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,,23
B8-000249,2018/01/01 06:00:00+00,2029,08:29:00,801 GASLIGHT LN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,24
B8-000295,2018/01/02 06:00:00+00,,12:00:00,N 14 at FAIRFIELD,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,25
B8-000297,2018/01/01 06:00:00+00,2335,11:35:00,"BRIARPARK,BODIE to HALLCLIFFE RD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,26
B8-000327,2018/01/02 06:00:00+00,,12:00:00,"S 50,J to L",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,27
B8-000335,2018/01/02 06:00:00+00,723,07:23:00,"I 80,HOMESTEAD EXP to NW 48",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,28
B8-000350,2018/01/02 06:00:00+00,855,08:55:00,S 13 at VAN DORN,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,NO,NO,,29
B8-000355,2018/01/02 06:00:00+00,900,09:00:00,S 27 at WASHINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,30
B8-000365,2018/01/02 06:00:00+00,1010,10:10:00,"GARFIELD,S 37 to S 38",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,,31
B8-000411,2018/01/02 06:00:00+00,1232,12:32:00,S 13 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,32
B8-000422,2018/01/02 06:00:00+00,1252,12:52:00,1440 N 56 at LAUNDRY LAND,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,33
B8-000446,2018/01/02 06:00:00+00,1450,02:50:00,"VINE,N 45 to N 48",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,34
B8-000450,2018/01/02 06:00:00+00,1509,03:09:00,"ADAMS,N 13 to N 14",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,35
B8-000462,2018/01/02 06:00:00+00,1552,03:52:00,"CAPITOL PKWY W,S 9 to S FOLSOM",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,36
B8-000471,1970/01/01 06:00:00+00,,12:00:00,"HARWOOD,S 18 to S 19",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,37
B8-000478,2018/01/02 06:00:00+00,1645,04:45:00,HOMESTEAD at W O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,38
B8-000487,2018/01/02 06:00:00+00,1728,05:28:00,"S 48,HILLSIDE to SHERMAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,39
B8-000490,2018/01/02 06:00:00+00,,12:00:00,"S 18,G to H",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,40
B8-000510,2018/01/02 06:00:00+00,1830,06:30:00,300 SPEEDWAY CIR at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,41
B8-000511,2018/01/02 06:00:00+00,1842,06:42:00,"N 52,O to R",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,,42
B8-000537,2018/01/02 06:00:00+00,2014,08:14:00,N 14 at SUPERIOR,NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,43
B8-000574,2018/01/03 06:00:00+00,1,12:01:00,", to",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,44
B8-000582,2018/01/03 06:00:00+00,115,01:15:00,"N 23,W to Y",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,45
B8-000619,2018/01/03 06:00:00+00,650,06:50:00,"NW 12,W ADAMS to W CORNHUSKER",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,,46
B8-000628,2018/01/03 06:00:00+00,800,08:00:00,"S 9,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,47
B8-000630,2018/01/03 06:00:00+00,800,08:00:00,"S 80,SOUTH to TRENDWOOD",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,48
B8-000642,2017/12/28 06:00:00+00,2130,09:30:00,"P,N 11 to N 12",INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,NO,NO,,49
B8-000655,2018/01/03 06:00:00+00,952,09:52:00,S 52 at FRANKLIN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,50
B8-001008,2018/01/04 06:00:00+00,1557,03:57:00,NW 14 at W Q,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,51
B8-001009,2018/01/04 06:00:00+00,1530,03:30:00,"ROCKHURST,AMHURST to HAVERFORD",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,52
B8-001027,2018/01/03 06:00:00+00,,12:00:00,"D,S 23 to S 24",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,53
B8-001035,2018/01/04 06:00:00+00,1718,05:18:00,HOMESTEAD at W O,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,54
B8-001037,2018/01/04 06:00:00+00,1721,05:21:00,"VINE,N 59 to N 60",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,55
B8-001043,2018/01/04 06:00:00+00,1735,05:35:00,"HAVELOCK,N 69 to N 70",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,56
B8-001057,2018/01/04 06:00:00+00,,12:00:00,"FAWN,DEAD END to ELKCREST",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,57
