DATE,TIME,RACE,SEX,REASON,OUTCOME,SEARCH,FID
2017/01/01 00:00:00+00,00:00:XX,1,1,1,1,1,1
2017/01/01 00:00:00+00,00:14:XX,1,1,1,2,1,2
2017/01/01 00:00:00+00,00:20:XX,1,2,1,1,1,3
2017/01/01 00:00:00+00,00:30:XX,3,2,1,2,1,4
2017/01/01 00:00:00+00,00:37:XX,1,2,1,1,1,5
2017/01/01 00:00:00+00,00:38:XX,3,1,1,5,1,6
2017/01/01 00:00:00+00,00:38:XX,1,1,1,2,1,7
2017/01/01 00:00:00+00,00:40:XX,1,1,1,1,1,8
2017/01/01 00:00:00+00,00:50:XX,1,1,1,2,1,9
2017/01/01 00:00:00+00,00:52:XX,3,1,1,2,1,10
2017/01/01 00:00:00+00,00:55:XX,3,1,1,3,1,11
2017/01/01 00:00:00+00,00:56:XX,1,1,1,2,1,12
2017/01/01 00:00:00+00,01:00:XX,1,1,1,5,1,13
2017/01/01 00:00:00+00,01:03:XX,1,2,1,1,1,14
2017/01/01 00:00:00+00,01:11:XX,1,1,1,2,1,15
2017/01/01 00:00:00+00,01:12:XX,1,1,1,1,1,16
2017/01/01 00:00:00+00,01:14:XX,1,1,1,5,1,17
2017/01/01 00:00:00+00,01:23:XX,1,2,1,1,1,18
2017/01/01 00:00:00+00,01:30:XX,2,1,1,5,1,19
2017/01/01 00:00:00+00,01:35:XX,1,2,1,1,1,20
2017/01/01 00:00:00+00,01:37:XX,1,1,1,3,1,21
2017/01/01 00:00:00+00,01:40:XX,2,2,1,1,1,22
2017/01/01 00:00:00+00,01:45:XX,1,1,1,2,1,23
2017/01/01 00:00:00+00,01:57:XX,1,2,1,2,1,24
2017/01/01 00:00:00+00,02:10:XX,1,2,1,1,1,25
2017/01/01 00:00:00+00,02:18:XX,2,1,1,1,1,26
2017/01/01 00:00:00+00,02:27:XX,2,1,1,4,3,27
2017/01/01 00:00:00+00,02:29:XX,2,1,1,1,1,28
2017/01/01 00:00:00+00,02:34:XX,1,2,1,2,1,29
2017/01/01 00:00:00+00,02:55:XX,1,2,1,1,1,30
2017/01/01 00:00:00+00,03:25:XX,2,1,1,1,1,31
2017/01/01 00:00:00+00,03:26:XX,1,1,2,4,1,32
2017/01/01 00:00:00+00,03:47:XX,1,2,1,2,1,33
2017/01/01 00:00:00+00,05:38:XX,2,1,1,3,1,34
2017/01/01 00:00:00+00,07:40:XX,1,1,1,1,1,35
2017/01/01 00:00:00+00,09:03:XX,1,2,1,2,1,36
2017/01/01 00:00:00+00,09:19:XX,2,1,1,2,1,37
2017/01/01 00:00:00+00,09:30:XX,2,2,1,1,1,38
2017/01/01 00:00:00+00,09:52:XX,1,2,1,2,1,39
2017/01/01 00:00:00+00,09:58:XX,1,1,1,2,1,40
2017/01/01 00:00:00+00,10:05:XX,1,1,1,1,1,41
2017/01/01 00:00:00+00,10:25:XX,1,2,1,1,1,42
2017/01/01 00:00:00+00,10:54:XX,3,1,1,3,1,43
2017/01/01 00:00:00+00,11:01:XX,1,2,1,1,1,44
2017/01/01 00:00:00+00,11:05:XX,1,2,1,2,1,45
2017/01/01 00:00:00+00,11:24:XX,1,2,1,2,1,46
2017/01/01 00:00:00+00,11:38:XX,1,2,1,1,1,47
2017/01/01 00:00:00+00,11:40:XX,3,1,1,3,3,48
2017/01/01 00:00:00+00,11:47:XX,1,2,1,3,1,49
2017/01/01 00:00:00+00,12:53:XX,1,2,1,1,1,50
2017/01/03 00:00:00+00,10:50:XX,1,1,1,2,1,51
2017/01/03 00:00:00+00,10:50:XX,1,1,1,2,1,52
2017/01/03 00:00:00+00,10:55:XX,1,2,1,2,1,53
2017/01/03 00:00:00+00,11:00:XX,1,2,1,1,1,54
2017/01/03 00:00:00+00,11:01:XX,1,2,1,2,1,55
2017/01/03 00:00:00+00,11:10:XX,1,1,1,2,1,56
2017/01/03 00:00:00+00,11:14:XX,3,1,1,2,1,57
2017/01/03 00:00:00+00,11:16:XX,2,2,1,2,1,58
2017/01/03 00:00:00+00,11:26:XX,1,1,1,2,1,59
2017/01/03 00:00:00+00,12:10:XX,1,2,1,2,1,60
