RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId
B8-000031,2018/01/01 00:00:00+00,55,"S 47,L to M",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1
B8-000075,2018/01/01 00:00:00+00,301,"S 24,GARFIELD to WASHINGTON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2
B8-000104,2018/01/01 00:00:00+00,300,S 83 at BANCROFT,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,3
B8-000116,2018/01/01 00:00:00+00,9999,"N 50,AYLESWORTH to HOLDREGE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4
B8-000122,2018/01/01 00:00:00+00,9999,"MYRTLE,LARCHDALE to S 80",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,5
B8-000137,2017/12/31 00:00:00+00,9999,"N 28,FAIR to POTTER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6
B8-000139,2018/01/01 00:00:00+00,1150,S 15 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,7
B8-000145,2018/01/01 00:00:00+00,9999,"GRASSRIDGE,ESSEX to SOUTHWOOD DR",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,8
B8-000147,2018/01/01 00:00:00+00,1200,"W DAWES,NW 8 to NW 9",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,9
B8-000152,2017/12/31 00:00:00+00,9999,"GLASS RIDGE DR,S 96 to GLASS RIDGE CT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,10
B8-000161,2017/12/31 00:00:00+00,2230,"WALKER,AMMON to N 70",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,11
B8-000164,2018/01/01 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,12
B8-000169,2018/01/01 00:00:00+00,9999,"N 58,AYLESWORTH to FRANCIS",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,13
B8-000174,2017/12/31 00:00:00+00,1130,"N,S 50 to S 52",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,14
B8-000180,2018/01/01 00:00:00+00,9999,"SW SOUKUP DR,W CHARLES HALL to W LAKE",NON-INJ H&R,PARKED,1,0,NO,NO,NO,NO,NO,NO,NO,15
B8-000192,2018/01/01 00:00:00+00,1621,STRATFORD at BRADFIELD,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,16
B8-000193,2018/01/01 00:00:00+00,9999,"BOSTON,PREAMBLE LN to DEAD END",NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,17
B8-000205,2018/01/01 00:00:00+00,9999,"D,S 25 to S 26",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,18
B8-000208,2018/01/01 00:00:00+00,9999,"H,DEAD END to S 18",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,19
B8-000218,2018/01/01 00:00:00+00,1740,"TRAIL RIDGE,APACHE to TERRACE",NON-INJ,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,20
B8-000222,2018/01/01 00:00:00+00,1730,"FRANKLIN,S 55 to S 56",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,21
B8-000229,2018/01/01 00:00:00+00,1834,"GRAND OAKS,S 80 to DREW PL",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,22
B8-000241,2018/01/01 00:00:00+00,1943,S 27 at OLD CHENEY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,23
B8-000249,2018/01/01 00:00:00+00,2029,801 GASLIGHT LN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,24
B8-000295,2018/01/02 00:00:00+00,9999,N 14 at FAIRFIELD,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,25
B8-000297,2018/01/01 00:00:00+00,2335,"BRIARPARK,BODIE to HALLCLIFFE RD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,26
B8-000327,2018/01/02 00:00:00+00,9999,"S 50,J to L",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,27
B8-000335,2018/01/02 00:00:00+00,723,"I 80,HOMESTEAD EXP to NW 48",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,28
B8-000350,2018/01/02 00:00:00+00,855,S 13 at VAN DORN,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,NO,NO,29
B8-000355,2018/01/02 00:00:00+00,900,S 27 at WASHINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,30
B8-000365,2018/01/02 00:00:00+00,1010,"GARFIELD,S 37 to S 38",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,31
B8-000411,2018/01/02 00:00:00+00,1232,S 13 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,32
