OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageArea,SalePrice
5,1961,1961,3.0,3.0,882.0,896,896,1,3.0,5,0.0,1.0,1.0,730.0,0.0
6,1958,1958,3.0,3.0,1329.0,1329,1329,1,4.0,6,0.0,1.0,1.0,312.0,0.0
5,1997,1998,3.0,4.0,928.0,928,1629,2,3.0,6,3.0,3.0,2.0,482.0,0.0
6,1998,1998,3.0,3.0,926.0,926,1604,2,4.0,7,4.0,3.0,2.0,470.0,0.0
8,1992,1992,4.0,4.0,1280.0,1280,1280,2,4.0,5,0.0,2.0,2.0,506.0,0.0
6,1993,1994,3.0,4.0,763.0,763,1655,2,3.0,7,3.0,3.0,2.0,440.0,0.0
6,1992,2007,3.0,4.0,1168.0,1187,1187,2,3.0,6,0.0,3.0,2.0,420.0,0.0
6,1998,1998,3.0,4.0,789.0,789,1465,2,3.0,7,4.0,3.0,2.0,393.0,0.0
7,1990,1990,3.0,4.0,1300.0,1341,1341,1,4.0,5,1.0,1.0,2.0,506.0,0.0
4,1970,1970,3.0,3.0,882.0,882,882,1,3.0,4,0.0,3.0,2.0,525.0,0.0
7,1999,1999,4.0,4.0,1405.0,1337,1337,2,4.0,5,2.0,3.0,2.0,511.0,0.0
6,1971,1971,3.0,3.0,483.0,483,987,1,3.0,5,0.0,1.0,1.0,264.0,0.0
5,1971,1971,3.0,3.0,525.0,525,1092,1,3.0,6,0.0,1.0,1.0,320.0,0.0
6,1975,1975,3.0,3.0,855.0,855,1456,2,4.0,6,3.0,1.0,2.0,440.0,0.0
7,1975,1975,3.0,4.0,836.0,836,836,1,3.0,4,0.0,1.0,1.0,308.0,0.0
9,2009,2010,5.0,5.0,1590.0,1627,2334,2,5.0,10,4.0,3.0,3.0,751.0,0.0
8,2009,2010,4.0,4.0,1544.0,1544,1544,2,4.0,7,0.0,2.0,3.0,868.0,0.0
9,2005,2005,4.0,5.0,1698.0,1698,1698,2,5.0,7,4.0,3.0,3.0,730.0,0.0
8,2005,2006,4.0,5.0,1822.0,1822,1822,2,5.0,8,4.0,2.0,3.0,678.0,0.0
9,2003,2004,5.0,5.0,2846.0,2696,2696,2,5.0,10,4.0,3.0,3.0,958.0,0.0
8,2002,2002,4.0,4.0,1671.0,1687,2250,2,4.0,7,5.0,3.0,3.0,756.0,0.0
8,2006,2006,4.0,4.0,1370.0,1370,1370,2,4.0,6,4.0,2.0,2.0,484.0,0.0
6,2005,2005,4.0,4.0,1324.0,1324,1324,2,4.0,6,0.0,3.0,2.0,430.0,0.0
7,2006,2006,4.0,4.0,1145.0,1145,1145,2,4.0,6,0.0,3.0,2.0,437.0,0.0
7,2004,2004,4.0,4.0,384.0,744,1374,2,4.0,7,4.0,3.0,2.0,400.0,0.0
7,2004,2004,4.0,4.0,847.0,847,1733,2,4.0,7,4.0,3.0,2.0,433.0,0.0
8,1998,1998,4.0,5.0,1629.0,1645,2475,2,4.0,7,3.0,3.0,3.0,962.0,0.0
8,2005,2006,4.0,4.0,1595.0,1595,1595,2,4.0,6,4.0,2.0,3.0,880.0,0.0
7,2009,2010,4.0,4.0,1218.0,1218,1218,2,4.0,4,0.0,2.0,2.0,676.0,0.0
6,2005,2005,4.0,5.0,1468.0,1468,1468,2,4.0,6,4.0,3.0,2.0,528.0,0.0
7,2004,2004,4.0,4.0,831.0,831,1659,2,4.0,8,0.0,2.0,2.0,484.0,0.0
5,1920,1950,3.0,3.0,816.0,1012,1012,1,3.0,5,0.0,1.0,1.0,429.0,0.0
6,1974,2002,3.0,3.0,1208.0,1494,1494,2,3.0,7,2.0,3.0,2.0,461.0,0.0
8,1993,1993,4.0,4.0,1231.0,1251,2349,2,4.0,9,3.0,2.0,3.0,762.0,0.0
8,1992,1993,4.0,4.0,1390.0,1402,2225,2,4.0,7,3.0,2.0,3.0,713.0,0.0
7,2004,2005,4.0,5.0,1488.0,1488,1488,2,4.0,6,4.0,3.0,2.0,506.0,0.0
7,2004,2004,4.0,4.0,840.0,840,1680,2,4.0,3,0.0,2.0,2.0,588.0,0.0
7,2004,2004,4.0,4.0,600.0,600,1200,2,4.0,4,0.0,2.0,2.0,480.0,0.0
7,2004,2005,4.0,4.0,600.0,600,1200,2,4.0,4,0.0,2.0,2.0,480.0,0.0
6,2005,2005,4.0,4.0,600.0,600,1236,2,4.0,4,0.0,2.0,2.0,480.0,0.0
6,2000,2000,4.0,4.0,756.0,756,1512,2,4.0,5,0.0,1.0,2.0,440.0,0.0
7,2003,2003,4.0,4.0,530.0,530,1080,2,4.0,4,0.0,2.0,2.0,496.0,0.0
8,2010,2010,4.0,5.0,1642.0,1418,1418,1,4.0,6,4.0,2.0,3.0,852.0,0.0
8,2000,2000,4.0,4.0,975.0,975,1848,2,4.0,7,3.0,2.0,2.0,592.0,0.0
7,2002,2002,4.0,4.0,1492.0,1492,1492,2,4.0,6,4.0,2.0,2.0,596.0,0.0
6,1967,1967,3.0,3.0,1829.0,1829,1829,2,3.0,8,0.0,2.0,2.0,535.0,0.0
6,1993,1993,3.0,4.0,1280.0,1280,2495,2,4.0,9,3.0,1.0,2.0,660.0,0.0
6,1978,1978,3.0,4.0,1224.0,1287,1891,3,3.0,7,3.0,2.0,2.0,678.0,0.0
6,1971,1971,3.0,3.0,715.0,930,1645,1,3.0,7,0.0,2.0,2.0,441.0,0.0
5,1966,1966,3.0,3.0,1232.0,1232,1232,1,3.0,6,0.0,2.0,2.0,490.0,0.0
5,1966,1966,3.0,4.0,1209.0,1209,1209,1,3.0,6,0.0,2.0,2.0,504.0,0.0
5,1967,1967,3.0,3.0,1510.0,1510,1510,2,4.0,6,0.0,2.0,2.0,517.0,0.0
6,1964,1964,3.0,3.0,533.0,1131,1775,2,3.0,8,0.0,1.0,2.0,480.0,0.0
5,1962,2001,3.0,3.0,1728.0,1728,1728,2,3.0,10,0.0,0.0,0.0,0.0,0.0
5,1952,2002,4.0,3.0,1140.0,1929,2461,2,3.0,7,4.0,1.0,2.0,400.0,0.0
6,1949,1950,3.0,3.0,782.0,1019,1556,2,3.0,6,4.0,1.0,2.0,470.0,0.0
6,1966,2008,3.0,3.0,1080.0,1128,1128,1,4.0,5,4.0,1.0,1.0,315.0,0.0
5,1958,1958,3.0,3.0,1604.0,1604,1604,2,3.0,8,0.0,1.0,2.0,576.0,0.0
7,2003,2009,4.0,4.0,1480.0,1480,1480,2,4.0,7,0.0,2.0,2.0,620.0,0.0
5,1959,1959,3.0,3.0,1143.0,1143,1143,1,3.0,6,0.0,2.0,1.0,308.0,0.0
5,1959,1959,3.0,3.0,1206.0,1206,1206,1,3.0,6,0.0,2.0,1.0,312.0,0.0
6,1959,1959,3.0,3.0,1244.0,1580,1580,1,3.0,6,4.0,1.0,2.0,440.0,0.0
4,1956,1956,3.0,3.0,832.0,832,1337,1,3.0,5,0.0,1.0,1.0,263.0,0.0
5,1952,1952,3.0,3.0,864.0,1064,1064,1,2.0,4,0.0,1.0,1.0,318.0,0.0
5,1955,1955,3.0,3.0,972.0,972,972,1,3.0,5,0.0,1.0,1.0,305.0,0.0
5,1958,1958,3.0,3.0,988.0,988,988,1,3.0,5,0.0,1.0,1.0,264.0,0.0
4,1920,1994,3.0,3.0,576.0,985,985,1,3.0,4,0.0,1.0,2.0,676.0,0.0
6,1948,2004,3.0,3.0,816.0,816,1224,1,3.0,5,0.0,1.0,1.0,280.0,0.0
5,1960,1960,3.0,3.0,1175.0,1175,1175,1,3.0,6,0.0,2.0,2.0,484.0,0.0
6,1963,1984,3.0,3.0,1395.0,1395,1395,1,3.0,7,3.0,2.0,2.0,440.0,0.0
4,1900,1954,3.0,3.0,709.0,1157,1844,1,3.0,9,4.0,1.0,1.0,240.0,0.0
5,1920,1950,3.0,3.0,936.0,936,936,1,3.0,5,4.0,0.0,0.0,0.0,0.0
5,1957,1957,3.0,3.0,1347.0,1347,1347,1,4.0,6,0.0,1.0,2.0,551.0,0.0
6,1938,2000,3.0,4.0,827.0,827,1251,1,2.0,6,0.0,1.0,1.0,240.0,0.0
5,1948,2009,3.0,3.0,1027.0,1027,1633,1,4.0,7,4.0,1.0,1.0,240.0,0.0
