OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageArea,SalePrice
7,2003,2003,4.0,4.0,856.0,856,1710,2,4.0,8,0.0,2.0,2.0,548.0,208500.0
6,1976,1976,3.0,4.0,1262.0,1262,1262,2,3.0,6,3.0,2.0,2.0,460.0,181500.0
7,2001,2002,4.0,4.0,920.0,920,1786,2,4.0,6,3.0,2.0,2.0,608.0,223500.0
7,1915,1970,3.0,3.0,756.0,961,1717,1,4.0,7,4.0,1.0,3.0,642.0,140000.0
8,2000,2000,4.0,4.0,1145.0,1145,2198,2,4.0,9,3.0,2.0,3.0,836.0,250000.0
5,1993,1995,3.0,4.0,796.0,796,1362,1,3.0,5,0.0,1.0,2.0,480.0,143000.0
8,2004,2005,4.0,5.0,1686.0,1694,1694,2,4.0,7,4.0,2.0,2.0,636.0,307000.0
7,1973,1973,3.0,4.0,1107.0,1107,2090,2,3.0,7,3.0,2.0,2.0,484.0,200000.0
7,1931,1950,3.0,3.0,952.0,1022,1774,2,3.0,8,3.0,1.0,2.0,468.0,129900.0
5,1939,1950,3.0,3.0,991.0,1077,1077,1,3.0,5,3.0,2.0,1.0,205.0,118000.0
5,1965,1965,3.0,3.0,1040.0,1040,1040,1,3.0,5,0.0,1.0,1.0,384.0,129500.0
9,2005,2006,5.0,5.0,1175.0,1182,2324,3,5.0,11,4.0,3.0,3.0,736.0,345000.0
5,1962,1962,3.0,3.0,912.0,912,912,1,3.0,4,0.0,1.0,1.0,352.0,144000.0
7,2006,2007,4.0,4.0,1494.0,1494,1494,2,4.0,7,4.0,2.0,3.0,840.0,279500.0
6,1960,1960,3.0,3.0,1253.0,1253,1253,1,3.0,5,2.0,2.0,1.0,352.0,157000.0
7,1929,2001,3.0,3.0,832.0,854,854,1,3.0,5,0.0,1.0,2.0,576.0,132000.0
6,1970,1970,3.0,3.0,1004.0,1004,1004,1,3.0,5,3.0,3.0,2.0,480.0,149000.0
4,1967,1967,3.0,0.0,0.0,1296,1296,2,3.0,6,0.0,1.0,2.0,516.0,90000.0
5,2004,2004,3.0,3.0,1114.0,1114,1114,1,4.0,6,0.0,1.0,2.0,576.0,159000.0
5,1958,1965,3.0,3.0,1029.0,1339,1339,1,3.0,6,0.0,1.0,1.0,294.0,139000.0
8,2005,2006,4.0,5.0,1158.0,1158,2376,3,4.0,9,4.0,2.0,3.0,853.0,325300.0
7,1930,1950,3.0,3.0,637.0,1108,1108,1,4.0,6,4.0,1.0,1.0,280.0,139400.0
8,2002,2002,4.0,4.0,1777.0,1795,1795,2,4.0,7,4.0,2.0,2.0,534.0,230000.0
5,1976,1976,3.0,4.0,1040.0,1060,1060,1,3.0,6,3.0,1.0,2.0,572.0,129900.0
5,1968,2001,3.0,3.0,1060.0,1060,1060,1,4.0,6,3.0,1.0,1.0,270.0,154000.0
8,2007,2007,4.0,4.0,1566.0,1600,1600,2,4.0,7,4.0,2.0,3.0,890.0,256300.0
5,1951,2000,3.0,3.0,900.0,900,900,1,4.0,5,0.0,1.0,2.0,576.0,134800.0
8,2007,2008,4.0,5.0,1704.0,1704,1704,2,4.0,7,4.0,2.0,3.0,772.0,306000.0
5,1957,1997,3.0,3.0,1484.0,1600,1600,1,3.0,6,4.0,2.0,1.0,319.0,207500.0
4,1927,1950,3.0,3.0,520.0,520,520,1,2.0,4,0.0,1.0,1.0,240.0,68500.0
4,1920,1950,3.0,3.0,649.0,649,1317,1,3.0,6,0.0,1.0,1.0,250.0,40000.0
5,1966,2006,3.0,3.0,1228.0,1228,1228,1,4.0,6,0.0,1.0,1.0,271.0,149350.0
8,2007,2007,4.0,5.0,1234.0,1234,1234,2,4.0,7,0.0,2.0,2.0,484.0,179900.0
5,1959,1959,3.0,3.0,1398.0,1700,1700,1,4.0,6,4.0,2.0,2.0,447.0,165500.0
9,2005,2005,5.0,5.0,1561.0,1561,1561,2,5.0,6,4.0,3.0,2.0,556.0,277500.0
8,2004,2005,4.0,5.0,1117.0,1132,2452,3,4.0,9,4.0,3.0,3.0,691.0,309000.0
5,1994,1995,3.0,4.0,1097.0,1097,1097,1,3.0,6,0.0,1.0,2.0,672.0,145000.0
5,1954,1990,3.0,3.0,1297.0,1297,1297,1,3.0,5,3.0,3.0,2.0,498.0,153000.0
5,1953,2007,3.0,3.0,1057.0,1057,1057,1,4.0,5,0.0,1.0,1.0,246.0,109000.0
4,1955,1955,3.0,0.0,0.0,1152,1152,2,2.0,6,0.0,0.0,0.0,0.0,82000.0
6,1965,1965,3.0,3.0,1088.0,1324,1324,2,3.0,6,3.0,2.0,2.0,440.0,160000.0
5,1959,1959,3.0,3.0,1350.0,1328,1328,1,3.0,5,4.0,2.0,1.0,308.0,170000.0
5,1983,1983,3.0,4.0,840.0,884,884,1,4.0,5,0.0,2.0,2.0,504.0,144000.0
5,1975,1980,3.0,4.0,938.0,938,938,1,3.0,5,0.0,1.0,1.0,308.0,130250.0
5,1959,1959,3.0,3.0,1150.0,1150,1150,1,3.0,6,0.0,2.0,1.0,300.0,141000.0
9,2005,2005,5.0,5.0,1752.0,1752,1752,2,5.0,6,4.0,2.0,2.0,576.0,319900.0
7,2003,2003,4.0,5.0,1434.0,1518,2149,1,4.0,6,5.0,2.0,2.0,670.0,239686.0
8,2006,2006,4.0,4.0,1656.0,1656,1656,2,4.0,7,0.0,2.0,3.0,826.0,249700.0
4,1920,2008,3.0,3.0,736.0,736,1452,2,3.0,8,0.0,0.0,0.0,0.0,113000.0
5,1966,1966,3.0,3.0,955.0,955,955,1,3.0,6,0.0,1.0,1.0,386.0,127000.0
6,1997,1997,3.0,4.0,794.0,794,1470,2,3.0,6,0.0,3.0,2.0,388.0,177000.0
6,1934,1950,3.0,3.0,816.0,816,1176,1,3.0,6,4.0,1.0,2.0,528.0,114500.0
5,1963,1963,2.0,4.0,816.0,816,816,1,3.0,5,0.0,1.0,2.0,516.0,110000.0
9,1981,1987,4.0,5.0,1842.0,1842,1842,0,4.0,5,4.0,3.0,3.0,894.0,385000.0
5,1955,1955,3.0,3.0,384.0,1360,1360,1,3.0,6,3.0,1.0,2.0,572.0,130000.0
6,1964,1964,3.0,3.0,1425.0,1425,1425,2,3.0,7,4.0,2.0,2.0,576.0,180500.0
8,1999,2000,4.0,4.0,970.0,983,1739,2,4.0,7,0.0,3.0,2.0,480.0,172500.0
7,2004,2004,4.0,4.0,860.0,860,1720,2,4.0,7,0.0,2.0,2.0,565.0,196500.0
10,2006,2006,5.0,5.0,1410.0,1426,2945,3,4.0,10,4.0,3.0,3.0,641.0,438780.0
5,1972,1972,3.0,3.0,780.0,780,780,1,3.0,4,0.0,1.0,1.0,352.0,124900.0
6,2004,2004,3.0,4.0,1158.0,1158,1158,1,4.0,5,0.0,1.0,2.0,576.0,158000.0
5,1920,1996,3.0,3.0,530.0,581,1111,1,2.0,6,0.0,1.0,1.0,288.0,101000.0
8,2006,2006,4.0,4.0,1370.0,1370,1370,2,4.0,6,4.0,2.0,2.0,484.0,202500.0
7,1921,1950,3.0,3.0,576.0,902,1710,2,3.0,9,0.0,1.0,2.0,480.0,140000.0
7,1997,1998,3.0,4.0,1057.0,1057,2034,2,4.0,8,0.0,2.0,2.0,645.0,219500.0
8,2004,2005,4.0,5.0,1143.0,1143,2473,2,4.0,9,4.0,2.0,3.0,852.0,317000.0
7,1970,1989,3.0,4.0,1947.0,2207,2207,2,3.0,7,4.0,2.0,2.0,576.0,180000.0
7,2003,2003,4.0,4.0,1453.0,1479,1479,2,4.0,7,0.0,2.0,2.0,558.0,226000.0
4,1945,1950,3.0,3.0,747.0,747,747,1,3.0,4,0.0,1.0,1.0,220.0,80000.0
7,1953,1953,4.0,3.0,1304.0,1304,2287,2,3.0,7,3.0,3.0,2.0,667.0,225000.0
7,1973,1973,3.0,4.0,2223.0,2223,2223,2,3.0,8,4.0,3.0,2.0,516.0,244000.0
4,1982,2006,3.0,3.0,845.0,845,845,1,3.0,4,0.0,1.0,2.0,360.0,129500.0
7,1998,1998,3.0,4.0,832.0,885,1718,2,3.0,7,3.0,3.0,2.0,427.0,185000.0
5,1954,2003,3.0,3.0,1086.0,1086,1086,1,3.0,6,0.0,1.0,2.0,490.0,144900.0
3,1915,1950,4.0,2.0,840.0,840,1605,2,3.0,8,0.0,1.0,1.0,379.0,107400.0
4,1973,1973,3.0,4.0,462.0,526,988,1,3.0,5,0.0,1.0,1.0,297.0,91000.0
4,1956,1956,3.0,3.0,952.0,952,952,1,3.0,4,0.0,1.0,1.0,283.0,135750.0
5,1948,2001,3.0,3.0,672.0,1072,1285,1,3.0,6,0.0,1.0,1.0,240.0,127000.0
4,1968,1968,3.0,3.0,1768.0,1768,1768,2,3.0,8,0.0,0.0,0.0,0.0,136500.0
5,1910,1981,3.0,3.0,440.0,682,1230,1,3.0,5,0.0,1.0,2.0,440.0,110000.0
6,1968,1968,3.0,4.0,896.0,1182,2142,2,4.0,8,4.0,3.0,1.0,509.0,193500.0
6,1998,1998,3.0,5.0,1237.0,1337,1337,2,3.0,5,0.0,3.0,2.0,405.0,153500.0
8,2007,2007,3.0,4.0,1563.0,1563,1563,2,4.0,6,4.0,2.0,3.0,758.0,245000.0
5,1960,1960,3.0,3.0,1065.0,1065,1065,1,3.0,6,0.0,1.0,2.0,461.0,126500.0
7,1995,1996,3.0,4.0,384.0,804,1474,2,3.0,7,3.0,3.0,2.0,400.0,168500.0
8,1991,1992,4.0,4.0,1288.0,1301,2417,2,4.0,9,3.0,1.0,2.0,462.0,260000.0
6,2005,2005,4.0,4.0,684.0,684,1560,2,4.0,6,4.0,3.0,2.0,400.0,174000.0
6,2009,2009,4.0,4.0,612.0,612,1224,2,4.0,4,0.0,2.0,2.0,528.0,164500.0
3,1915,1982,2.0,3.0,1013.0,1013,1526,1,2.0,6,0.0,0.0,0.0,0.0,85000.0
4,1994,1995,3.0,4.0,990.0,990,990,1,3.0,5,0.0,0.0,0.0,0.0,123600.0
4,1950,1950,3.0,0.0,0.0,1040,1040,1,3.0,4,0.0,1.0,2.0,420.0,109900.0
5,1961,1961,3.0,3.0,1235.0,1235,1235,1,3.0,6,0.0,1.0,2.0,480.0,98600.0
5,1921,2006,3.0,4.0,876.0,964,964,1,3.0,5,0.0,1.0,2.0,432.0,163500.0
6,1910,1998,3.0,3.0,1214.0,1260,2291,2,3.0,9,4.0,1.0,2.0,506.0,133900.0
6,1997,1997,3.0,4.0,824.0,905,1786,2,4.0,7,0.0,2.0,2.0,684.0,204750.0
6,1993,1993,5.0,4.0,680.0,680,1470,2,3.0,6,3.0,3.0,2.0,420.0,185000.0
7,1999,1999,4.0,4.0,1588.0,1588,1588,2,4.0,6,0.0,2.0,2.0,472.0,214000.0
4,1965,1965,3.0,3.0,960.0,960,960,1,3.0,6,0.0,3.0,1.0,432.0,94750.0
5,1920,1950,3.0,3.0,458.0,835,835,1,3.0,5,0.0,1.0,1.0,366.0,83000.0
4,1959,1959,3.0,3.0,950.0,1225,1225,1,3.0,6,0.0,0.0,0.0,0.0,128950.0
6,1977,2001,3.0,3.0,1610.0,1610,1610,2,4.0,6,3.0,2.0,2.0,480.0,205000.0
6,1985,1985,4.0,4.0,741.0,977,1732,2,4.0,7,3.0,3.0,2.0,476.0,178000.0
