SalePrice,Id,LotArea,BsmtUnfSF,TotalBsmtSF,GrLivArea,GarageArea,LotFrontage,1stFlrSF,YearBuilt,MasVnrArea,BsmtFinSF1,OpenPorchSF,WoodDeckSF,MoSold,YearRemodAdd,2ndFlrSF,OverallCond,GarageYrBlt,ScreenPorch,BsmtFinSF2
208500.0,1,8450,150.0,856.0,1710,548.0,65.0,856,2003,196.0,706.0,61,0,2,2003,854,5,2003.0,0,0.0
181500.0,2,9600,284.0,1262.0,1262,460.0,80.0,1262,1976,0.0,978.0,0,298,5,1976,0,8,1976.0,0,0.0
223500.0,3,11250,434.0,920.0,1786,608.0,68.0,920,2001,162.0,486.0,42,0,9,2002,866,5,2001.0,0,0.0
140000.0,4,9550,540.0,756.0,1717,642.0,60.0,961,1915,0.0,216.0,35,0,2,1970,756,5,1998.0,0,0.0
250000.0,5,14260,490.0,1145.0,2198,836.0,84.0,1145,2000,350.0,655.0,84,192,12,2000,1053,5,2000.0,0,0.0
143000.0,6,14115,64.0,796.0,1362,480.0,85.0,796,1993,0.0,732.0,30,40,10,1995,566,5,1993.0,0,0.0
307000.0,7,10084,317.0,1686.0,1694,636.0,75.0,1694,2004,186.0,1369.0,57,255,8,2005,0,5,2004.0,0,0.0
200000.0,8,10382,216.0,1107.0,2090,484.0,69.30579531442663,1107,1973,240.0,859.0,204,235,11,1973,983,6,1973.0,0,32.0
129900.0,9,6120,952.0,952.0,1774,468.0,51.0,1022,1931,0.0,0.0,0,90,4,1950,752,5,1931.0,0,0.0
118000.0,10,7420,140.0,991.0,1077,205.0,50.0,1077,1939,0.0,851.0,4,0,1,1950,0,6,1939.0,0,0.0
129500.0,11,11200,134.0,1040.0,1040,384.0,70.0,1040,1965,0.0,906.0,0,0,2,1965,0,5,1965.0,0,0.0
345000.0,12,11924,177.0,1175.0,2324,736.0,85.0,1182,2005,286.0,998.0,21,147,7,2006,1142,5,2005.0,0,0.0
144000.0,13,12968,175.0,912.0,912,352.0,69.30579531442663,912,1962,0.0,737.0,0,140,9,1962,0,6,1962.0,176,0.0
279500.0,14,10652,1494.0,1494.0,1494,840.0,91.0,1494,2006,306.0,0.0,33,160,8,2007,0,5,2006.0,0,0.0
157000.0,15,10920,520.0,1253.0,1253,352.0,69.30579531442663,1253,1960,212.0,733.0,213,0,5,1960,0,5,1960.0,0,0.0
132000.0,16,6120,832.0,832.0,854,576.0,51.0,854,1929,0.0,0.0,112,48,7,2001,0,8,1991.0,0,0.0
149000.0,17,11241,426.0,1004.0,1004,480.0,69.30579531442663,1004,1970,180.0,578.0,0,0,3,1970,0,7,1970.0,0,0.0
90000.0,18,10791,0.0,0.0,1296,516.0,72.0,1296,1967,0.0,0.0,0,0,10,1967,0,5,1967.0,0,0.0
159000.0,19,13695,468.0,1114.0,1114,576.0,66.0,1114,2004,0.0,646.0,102,0,6,2004,0,5,2004.0,0,0.0
139000.0,20,7560,525.0,1029.0,1339,294.0,70.0,1339,1958,0.0,504.0,0,0,5,1965,0,6,1958.0,0,0.0
325300.0,21,14215,1158.0,1158.0,2376,853.0,101.0,1158,2005,380.0,0.0,154,240,11,2006,1218,5,2005.0,0,0.0
139400.0,22,7449,637.0,637.0,1108,280.0,57.0,1108,1930,0.0,0.0,0,0,6,1950,0,7,1930.0,0,0.0
230000.0,23,9742,1777.0,1777.0,1795,534.0,75.0,1795,2002,281.0,0.0,159,171,9,2002,0,5,2002.0,0,0.0
129900.0,24,4224,200.0,1040.0,1060,572.0,44.0,1060,1976,0.0,840.0,110,100,6,1976,0,7,1976.0,0,0.0
154000.0,25,8246,204.0,1060.0,1060,270.0,69.30579531442663,1060,1968,0.0,188.0,90,406,5,2001,0,8,1968.0,0,668.0
256300.0,26,14230,1566.0,1566.0,1600,890.0,110.0,1600,2007,640.0,0.0,56,0,7,2007,0,5,2007.0,0,0.0
134800.0,27,7200,180.0,900.0,900,576.0,60.0,900,1951,0.0,234.0,32,222,5,2000,0,7,2005.0,0,486.0
306000.0,28,11478,486.0,1704.0,1704,772.0,98.0,1704,2007,200.0,1218.0,50,0,5,2008,0,5,2008.0,0,0.0
207500.0,29,16321,207.0,1484.0,1600,319.0,47.0,1600,1957,0.0,1277.0,258,288,12,1997,0,6,1957.0,0,0.0
68500.0,30,6324,520.0,520.0,520,240.0,60.0,520,1927,0.0,0.0,0,49,5,1950,0,6,1920.0,0,0.0
40000.0,31,8500,649.0,649.0,1317,250.0,50.0,649,1920,0.0,0.0,54,0,7,1950,668,4,1920.0,0,0.0
149350.0,32,8544,1228.0,1228.0,1228,271.0,69.30579531442663,1228,1966,0.0,0.0,65,0,6,2006,0,6,1966.0,0,0.0
179900.0,33,11049,1234.0,1234.0,1234,484.0,85.0,1234,2007,0.0,0.0,30,0,1,2007,0,5,2007.0,0,0.0
165500.0,34,10552,380.0,1398.0,1700,447.0,70.0,1700,1959,0.0,1018.0,38,0,4,1959,0,5,1959.0,0,0.0
277500.0,35,7313,408.0,1561.0,1561,556.0,60.0,1561,2005,246.0,1153.0,47,203,8,2005,0,5,2005.0,0,0.0
309000.0,36,13418,1117.0,1117.0,2452,691.0,108.0,1132,2004,132.0,0.0,32,113,9,2005,1320,5,2004.0,0,0.0
145000.0,37,10859,1097.0,1097.0,1097,672.0,112.0,1097,1994,0.0,0.0,64,392,6,1995,0,5,1995.0,0,0.0
153000.0,38,8532,84.0,1297.0,1297,498.0,74.0,1297,1954,650.0,1213.0,0,0,10,1990,0,6,1954.0,0,0.0
109000.0,39,7922,326.0,1057.0,1057,246.0,68.0,1057,1953,0.0,731.0,52,0,1,2007,0,7,1953.0,0,0.0
82000.0,40,6040,0.0,0.0,1152,0.0,65.0,1152,1955,0.0,0.0,0,0,6,1955,0,5,0.0,0,0.0
160000.0,41,8658,445.0,1088.0,1324,440.0,84.0,1324,1965,101.0,643.0,138,0,12,1965,0,5,1965.0,0,0.0
170000.0,42,16905,383.0,1350.0,1328,308.0,115.0,1328,1959,0.0,967.0,104,0,7,1959,0,6,1959.0,0,0.0
144000.0,43,9180,0.0,840.0,884,504.0,69.30579531442663,884,1983,0.0,747.0,0,240,12,1983,0,7,1983.0,0,93.0
130250.0,44,9200,167.0,938.0,938,308.0,69.30579531442663,938,1975,0.0,280.0,0,145,7,1980,0,6,1977.0,0,491.0
141000.0,45,7945,465.0,1150.0,1150,300.0,70.0,1150,1959,0.0,179.0,0,0,5,1959,0,6,1959.0,0,506.0
319900.0,46,7658,1296.0,1752.0,1752,576.0,61.0,1752,2005,412.0,456.0,82,196,2,2005,0,5,2005.0,0,0.0
239686.0,47,12822,83.0,1434.0,2149,670.0,48.0,1518,2003,0.0,1351.0,43,168,8,2003,631,5,2003.0,198,0.0
