SalePrice,Id,YrSold,MoSold,LotShape,BsmtFinType1,BsmtExposure,BsmtFullBath,WoodDeckSF,FireplaceQu,Neighborhood_CollgCr,HalfBath,MasVnrType_BrkFace,Fireplaces,LotConfig_Corner,LotConfig_Inside,BsmtUnfSF,GarageFinish,OpenPorchSF,MasVnrType_None,RoofStyle_Hip
208500.0,1,2008,2,1.0,6.0,1.0,1.0,0,0.0,1,1,1,0,0,1,150.0,2.0,61,0,0
181500.0,2,2007,5,1.0,5.0,4.0,0.0,298,3.0,0,0,0,1,0,0,284.0,2.0,0,1,0
223500.0,3,2008,9,2.0,6.0,2.0,1.0,0,3.0,1,1,1,1,0,1,434.0,2.0,42,0,0
140000.0,4,2006,2,2.0,5.0,1.0,1.0,0,4.0,0,0,0,1,1,0,540.0,1.0,35,1,0
250000.0,5,2008,12,2.0,6.0,3.0,1.0,192,3.0,0,1,1,1,0,0,490.0,2.0,84,0,0
143000.0,6,2009,10,2.0,6.0,1.0,1.0,40,0.0,0,1,0,0,0,1,64.0,1.0,30,1,0
307000.0,7,2007,8,1.0,6.0,3.0,1.0,255,4.0,0,0,0,1,0,1,317.0,2.0,57,0,0
200000.0,8,2009,11,2.0,5.0,2.0,1.0,235,3.0,0,1,0,2,1,0,216.0,2.0,204,0,0
129900.0,9,2008,4,1.0,1.0,1.0,0.0,90,3.0,0,0,0,2,0,1,952.0,1.0,0,1,0
118000.0,10,2008,1,1.0,6.0,1.0,1.0,0,3.0,0,0,0,2,1,0,140.0,2.0,4,1,0
129500.0,11,2008,2,1.0,3.0,1.0,1.0,0,0.0,0,0,0,0,0,1,134.0,1.0,0,1,1
345000.0,12,2006,7,2.0,6.0,1.0,1.0,147,4.0,0,0,0,2,0,1,177.0,3.0,21,0,1
144000.0,13,2008,9,3.0,5.0,1.0,1.0,140,0.0,0,0,0,0,0,1,175.0,1.0,0,1,1
279500.0,14,2007,8,2.0,1.0,3.0,0.0,160,4.0,1,0,0,1,0,1,1494.0,2.0,33,0,0
157000.0,15,2008,5,2.0,4.0,1.0,1.0,0,2.0,0,1,1,1,1,0,520.0,2.0,213,0,1
132000.0,16,2007,7,1.0,1.0,1.0,0.0,48,0.0,0,0,0,0,1,0,832.0,1.0,112,1,0
149000.0,17,2010,3,2.0,5.0,1.0,1.0,0,3.0,0,0,1,1,0,0,426.0,3.0,0,0,0
90000.0,18,2006,10,1.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1,0.0,1.0,0,1,0
159000.0,19,2008,6,1.0,6.0,1.0,1.0,0,0.0,0,1,0,0,0,1,468.0,1.0,102,1,0
139000.0,20,2009,5,1.0,2.0,1.0,0.0,0,0.0,0,0,0,0,0,1,525.0,1.0,0,1,1
325300.0,21,2006,11,2.0,1.0,3.0,0.0,240,4.0,0,1,1,1,1,0,1158.0,2.0,154,0,0
139400.0,22,2007,6,1.0,1.0,1.0,0.0,0,4.0,0,0,0,1,0,1,637.0,1.0,0,1,0
230000.0,23,2008,9,1.0,1.0,1.0,0.0,171,4.0,1,0,1,1,0,1,1777.0,2.0,159,0,1
129900.0,24,2007,6,1.0,6.0,1.0,1.0,100,3.0,0,0,0,1,0,1,200.0,1.0,110,1,0
154000.0,25,2010,5,2.0,3.0,2.0,1.0,406,3.0,0,0,0,1,0,1,204.0,1.0,90,1,0
256300.0,26,2009,7,1.0,1.0,1.0,0.0,0,4.0,0,0,0,1,1,0,1566.0,2.0,56,0,0
134800.0,27,2010,5,1.0,4.0,2.0,0.0,222,0.0,0,0,0,0,1,0,180.0,1.0,32,1,0
306000.0,28,2010,5,1.0,6.0,1.0,1.0,0,4.0,0,0,0,1,0,1,486.0,2.0,50,0,0
207500.0,29,2006,12,2.0,4.0,4.0,1.0,288,4.0,0,0,0,2,0,0,207.0,2.0,258,1,0
68500.0,30,2008,5,2.0,1.0,1.0,0.0,49,0.0,0,0,0,0,0,1,520.0,1.0,0,1,0
40000.0,31,2008,7,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,0,1,649.0,1.0,54,1,0
149350.0,32,2008,6,2.0,1.0,1.0,0.0,0,0.0,0,1,0,0,0,0,1228.0,1.0,65,1,0
179900.0,33,2008,1,1.0,1.0,3.0,0.0,0,0.0,1,0,0,0,1,0,1234.0,2.0,30,1,0
165500.0,34,2010,4,2.0,3.0,1.0,0.0,0,4.0,0,1,0,1,0,1,380.0,2.0,38,1,1
277500.0,35,2007,8,1.0,6.0,1.0,1.0,203,4.0,0,0,1,1,0,1,408.0,3.0,47,0,1
309000.0,36,2006,9,1.0,1.0,3.0,0.0,113,4.0,0,1,0,1,0,1,1117.0,3.0,32,0,0
