BreweryID,BreweryName,Type,ReviewLink,ProxyLink,Map,StreetAddress,City,State,Zip,Country,PhoneNum,Website,Rating,ImageCount
21938,Catalyst Brewing Company,Brewery,https://beermapping.com/location/21938,http://beermapping.com/maps/proxymaps.php?locid=21938&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21938&amp;d=1&amp;type=norm,5730 Hidcote Drive,Lincoln,NE,68516,United States,402-875-5588,,0,0
19644,Backswing Brewing Co.,Brewery,https://beermapping.com/location/19644,http://beermapping.com/maps/proxymaps.php?locid=19644&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=19644&amp;d=1&amp;type=norm,500 W South St #8,Lincoln,NE,68522,United States,(402) 515-4263,facebook.com/BackswingBrewingCo/timeline,0,0
22957,Benson Brewery,Brewery,https://beermapping.com/location/22957,http://beermapping.com/maps/proxymaps.php?locid=22957&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=22957&amp;d=1&amp;type=norm,6059 Maple St,Omaha,NE,68104,United States,(402) 934-8668,https://www.bensonbrewery.com/,0,0
20376,Boiler Brewing Company,Brewery,https://beermapping.com/location/20376,http://beermapping.com/maps/proxymaps.php?locid=20376&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=20376&amp;d=1&amp;type=norm,"129 N 10th St, Suite 8",Lincoln,NE,68508,United States,402-261-8775,boilerbrewingcompany.com,0,0
20287,Bolo Beer Co,Brewery,https://beermapping.com/location/20287,http://beermapping.com/maps/proxymaps.php?locid=20287&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=20287&amp;d=1&amp;type=norm,420 East 1st St,Valentine,NE,69201,United States,,facebook.com/BoloBeerCo,0,0
20099,Bottle Rocket Brewing Company,Brewery,https://beermapping.com/location/20099,http://beermapping.com/maps/proxymaps.php?locid=20099&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=20099&amp;d=1&amp;type=norm,230 S. 5th Street,Seward,NE,68434,United States,,bottlerocketbrewing.com,0,0
22958,Brewery 719,Brewery,https://beermapping.com/location/22958,http://beermapping.com/maps/proxymaps.php?locid=22958&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=22958&amp;d=1&amp;type=norm,817 E 3rd St,Alliance,NE,69301,United States,(308) 761-2719,http://www.brewery719.com/,0,0
18888,Brickway Brewery and Distillery,Brewery,https://beermapping.com/location/18888,http://beermapping.com/maps/proxymaps.php?locid=18888&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=18888&amp;d=1&amp;type=norm,1116 Jackson Street,Omaha,NE,68102,United States,(402) 933-2613,http://www.drinkbrickway.com/,93.3334,1
19643,Hanging Horseshoe Brewing Company,Brewery,https://beermapping.com/location/19643,http://beermapping.com/maps/proxymaps.php?locid=19643&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=19643&amp;d=1&amp;type=norm,73892 332nd ave,Imperial,NE,69033,United States,﻿308-882-7772,facebook.com/pages/Broken-Arrow-Cellars/793194924061163?rf=335647383285349,0,0
20832,Brush Creek Brewing Company,Brewpub,https://beermapping.com/location/20832,http://beermapping.com/maps/proxymaps.php?locid=20832&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=20832&amp;d=1&amp;type=norm,102 N. Main Street,Atkinson,NE,68713,United States,,facebook.com/BrushCreekBrewingCompany/,0,0
22959,Canyon Lakes Brewing Company,Brewery,https://beermapping.com/location/22959,http://beermapping.com/maps/proxymaps.php?locid=22959&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=22959&amp;d=1&amp;type=norm,74896 Johnson Lake Dr,Johnson Lake,NE,68937,United States,(308) 785-4012,https://www.canyonlakesbrewing.com/,0,0
21721,Code Beer Company,Brewpub,https://beermapping.com/location/21721,http://beermapping.com/maps/proxymaps.php?locid=21721&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21721&amp;d=1&amp;type=norm,200 S Antelope Valley Pkwy,Lincoln,NE,68508,United States,(402) 318-5888,http://www.codebeer.co/,0,0
