Brewery ID,Brewery Name,Type of Brewery,Street Address,City,State,Postal Code,5-digit Zip,Website,Phone,Longitude,Latitude
backswing-brewing-co-lincoln,Backswing Brewing Co.,Micro,500 W South St Ste 8,Lincoln,Nebraska,68522-1744,68522,http://www.backswingbrewing.com,(402) 515-4263,,
benson-brewery-omaha,Benson Brewery,Brewpub,6059 Maple St,Omaha,Nebraska,68104-4050,68104,http://www.bensonbrewery.com,(402) 934-8668,-96.00634511,41.28489756
boiler-brewing-company-lincoln,Boiler Brewing Company,Micro,129 N 10th St Ste 8,Lincoln,Nebraska,68508-3633,68508,http://www.boilerbrewingcompany.com,(402) 261-8775,,
bolo-beer-co-valentine,Bolo Beer Co,Micro,420 E 1st St,Valentine,Nebraska,69201-1904,69201,http://www.bolobeer.com,(402) 259-5180,-100.5457277,42.87204733
bootleg-brewers-sandhills-brewing-company-taylor,Bootleg Brewers - Sandhills Brewing Company,Brewpub,45145 829th Rd,Taylor,Nebraska,68879-8120,68879,http://www.bootlegbrewers.com,(308) 942-3440,,
bottle-rocket-brewing-co-seward,Bottle Rocket Brewing Co,Micro,230 S 5th St,Seward,Nebraska,68434-2520,68434,http://www.bottlerocketbrewing.com,(402) 304-5673,-97.09777551,40.90629564
brickway-brewery-and-distillery-omaha,Brickway Brewery and Distillery,Micro,1116 Jackson St,Omaha,Nebraska,68102-2825,68102,http://www.drinkbrickway.com,(402) 933-2613,-95.93090524,41.25449082
brush-creek-brewing-company-atkinson,Brush Creek Brewing Company,Brewpub,102 N Main St,Atkinson,Nebraska,68713-4946,68713,,(402) 925-2629,-98.97836727,42.53141502
code-beer-co-lincoln,Code Beer Co.,Micro,200 S Antelope Valley Pkwy,Lincoln,Nebraska,68510-1016,68510,http://www.codebeer.co,(402) 318-5888,-96.69344422,40.8123075
divots-brewery-norfolk,Divots Brewery,Brewpub,4200 W Norfolk Ave,Norfolk,Nebraska,68701-9202,68701,http://www.divotsbrewery.com,(402) 844-2985,-97.466386,42.032539
empyrean-brewing-co-lincoln,Empyrean Brewing Co,Micro,729 Q St,Lincoln,Nebraska,68508-1536,68508,http://www.empyreanbrewingco.com,(402) 434-5970,-96.7105429,40.8155873
fairfield-opera-house-brewery-fairfield,Fairfield Opera House Brewery,Brewpub,415 N D St,Fairfield,Nebraska,68938-2114,68938,http://www.fairfieldoperahouse.com,(402) 726-2447,-98.10588657,40.43061571
farnam-house-brewing-company-omaha,Farnam House Brewing Company,Brewpub,3558 Farnam St,Omaha,Nebraska,68131-3304,68131,http://www.farnamhousebrewing.com,(402) 401-6086,-95.96580178,41.2578153
first-street-brewing-hastings,First Street Brewing,Micro,119 N St Joseph Ave,Hastings,Nebraska,68901-7553,68901,http://www.firststreetbrewing.com,(402) 834-2400,-98.3877198,40.5844989
gottberg-brew-pub-columbus,Gottberg Brew Pub,Brewpub,2804 13th St,Columbus,Nebraska,68601-4919,68601,http://www.dustersrestaurant.com,(402) 562-6488,-97.3621271,41.42940061
granite-city-food-and-brewery-16-omaha,Granite City Food & Brewery (#16),Brewpub,1001 N 102nd St,Omaha,Nebraska,68114-2155,68114,http://www.gcfb.net,(402) 393-5000,-96.071539,41.268008
granite-city-food-and-brewery-7-lincoln,Granite City Food & Brewery (#7),Brewpub,6200 O St,Lincoln,Nebraska,68510-2240,68510,http://www.gcfb.net,(402) 466-1900,-96.6872327,40.8135885
hanging-horseshoe-brewing-company-imperial,Hanging Horseshoe Brewing Company,Micro,73892 332 Ave,Imperial,Nebraska,69033,69033,,(308) 882-7772,,
highway-14-brewing-company-albion,Highway 14 Brewing Company,Micro,134 South 4th Street,Albion,Nebraska,68620,68620,,(402) 395-8733,,
infusion-brewing-company-omaha-1,Infusion Brewing Company,Micro,6115 Maple St,Omaha,Nebraska,68104-4043,68104,http://www.infusionbrewing.com,(402) 934-2064,-96.007724,41.284907
infusion-brewing-company-omaha-2,Infusion Brewing Company,Micro,6271 S 118th St,Omaha,Nebraska,68137-3574,68137,http://www.infusionbrewing.com,(402) 934-2064,-96.0980711,41.2077948
jaipur-restaurant-and-brewpub-omaha,Jaipur Restaurant and Brewpub,Brewpub,10922 Elm St,Omaha,Nebraska,68144-4822,68144,http://www.jaipurbrewhouse.com,(402) 392-7331,-96.08239397,41.23283768
johnnie-byrd-brewing-company-wayne,Johnnie Byrd Brewing Company,Micro,121 N Pearl St,Wayne,Nebraska,68787,68787,http://www.johnniebyrd.beer,(402) 833-1522,-97.0191502,42.2294276
kinkaider-brewing-co-broken-bow,Kinkaider Brewing Co,Micro,43860 Paulsen Rd,Broken Bow,Nebraska,68822-7120,68822,http://www.kinkaiderbrewing.com,(308) 872-8348,,
kros-strain-brewing-company-lavista,Kros Strain Brewing Company,Micro,"10411 Portal Rd, Ste 102",LaVista,Nebraska,68128-5527,68128,http://www.krosstrainbrewing.com,(402) 779-7990,,
lazy-horse-brewing-ohiowa,Lazy Horse Brewing,Brewpub,211 Road 20,Ohiowa,Nebraska,68416-3005,68416,http://lazyhorsebrewing.com,(402) 314-5266,,
loop-brewing-co-mc-cook,Loop Brewing Co,Brewpub,404 W A St,Mc Cook,Nebraska,69001-3516,69001,http://www.loopbrewingcompany.com,(308) 345-5198,,
lost-way-brewery-holdrege,Lost Way Brewery,Micro,614 3rd Ave,Holdrege,Nebraska,68949-2701,68949,http://www.lostwaybrewery.com,(308) 995-0503,-99.37228235,40.4368517
lucky-bucket-brewing-co-la-vista,Lucky Bucket Brewing Co,Micro,11941 Centennial Rd Ste 1,La Vista,Nebraska,68128-5623,68128,http://www.luckybucketbrewing.com,(402) 763-8868,,
